Date,Open,High,Low,Close,Adj Close,Volume
2022-02-15,1476.000000,1524.900024,1473.050049,1517.800049,1500.355347,6567533
2022-02-16,1534.349976,1534.750000,1507.000000,1515.750000,1498.328857,5016132
2022-02-17,1513.099976,1522.000000,1502.000000,1506.500000,1489.185181,3675604
2022-02-18,1498.300049,1517.000000,1490.449951,1512.349976,1494.967896,3898064
2022-02-21,1504.000000,1530.699951,1495.550049,1522.099976,1504.605835,3734033
2022-02-22,1489.800049,1522.099976,1487.949951,1510.699951,1493.336914,4768098
2022-02-23,1525.099976,1525.699951,1495.650024,1500.900024,1483.649658,4514781
2022-02-24,1449.900024,1474.949951,1407.150024,1419.400024,1403.086304,11815383
2022-02-25,1439.949951,1465.900024,1432.849976,1456.099976,1439.364502,9159327
2022-02-28,1426.000000,1438.550049,1414.050049,1426.250000,1409.857544,12440416
2022-03-02,1386.500000,1398.400024,1354.400024,1374.250000,1358.455200,19252780
2022-03-03,1381.000000,1392.000000,1362.900024,1371.000000,1355.242554,8763961
2022-03-04,1360.000000,1386.000000,1336.900024,1366.500000,1350.794312,10609682
2022-03-07,1318.500000,1332.349976,1297.050049,1324.800049,1309.573608,13527229
2022-03-08,1302.199951,1334.000000,1292.000000,1327.800049,1312.539185,19606246
2022-03-09,1330.000000,1374.699951,1318.849976,1371.150024,1355.390869,11567347
2022-03-10,1427.000000,1427.000000,1380.250000,1392.699951,1376.693115,11136603
2022-03-11,1388.000000,1408.949951,1372.699951,1396.800049,1380.746094,7575390
2022-03-14,1415.000000,1450.000000,1415.000000,1442.550049,1425.970215,12509063
2022-03-15,1443.500000,1449.500000,1411.750000,1424.000000,1407.633423,9433964
2022-03-16,1447.000000,1455.000000,1436.199951,1448.150024,1431.505859,6682054
2022-03-17,1472.000000,1489.800049,1470.550049,1480.050049,1463.039307,7411977
2022-03-21,1487.000000,1493.650024,1472.800049,1486.500000,1469.415039,6128938
2022-03-22,1481.300049,1498.000000,1457.199951,1494.150024,1476.977173,5230907
2022-03-23,1507.000000,1518.800049,1473.599976,1479.250000,1462.248413,15594128
2022-03-24,1466.000000,1469.650024,1434.550049,1442.650024,1426.069092,10080022
2022-03-25,1451.000000,1452.000000,1419.000000,1430.900024,1414.454102,8183231
2022-03-28,1430.900024,1438.000000,1401.599976,1432.800049,1416.332275,7877443
2022-03-29,1441.000000,1460.250000,1430.000000,1451.800049,1435.113892,6188724
2022-03-30,1472.000000,1482.750000,1454.050049,1476.949951,1459.974854,10054871
2022-03-31,1471.000000,1484.699951,1465.900024,1470.349976,1453.450684,7147857
2022-04-01,1476.400024,1510.000000,1470.300049,1506.000000,1488.690918,7284278
2022-04-04,1580.000000,1722.099976,1562.550049,1656.800049,1637.757813,48725485
2022-04-05,1666.699951,1666.699951,1602.000000,1608.250000,1589.765747,15461291
2022-04-06,1587.699951,1589.800049,1547.349976,1550.849976,1533.025513,13513930
2022-04-07,1541.300049,1541.349976,1513.699951,1516.750000,1499.317383,20390866
2022-04-08,1512.099976,1525.750000,1497.300049,1514.650024,1497.241577,20628161
2022-04-11,1506.000000,1510.000000,1493.250000,1496.150024,1478.954224,10399533
2022-04-12,1484.000000,1506.849976,1480.150024,1493.500000,1476.334595,13717701
2022-04-13,1490.000000,1502.300049,1462.650024,1464.949951,1448.112671,14446260
2022-04-18,1418.849976,1431.650024,1390.050049,1395.449951,1379.411499,22810188
2022-04-19,1380.900024,1389.550049,1327.000000,1342.199951,1326.773560,37048011
2022-04-20,1354.449951,1359.900024,1335.349976,1354.300049,1338.734497,24662868
2022-04-21,1365.000000,1379.800049,1353.300049,1374.349976,1358.554077,26223135
2022-04-22,1360.000000,1375.349976,1349.150024,1355.599976,1340.019531,10329574
2022-04-25,1350.000000,1370.650024,1322.250000,1365.750000,1350.052856,10467744
2022-04-26,1372.000000,1381.949951,1357.150024,1372.050049,1356.280518,8508421
2022-04-27,1360.000000,1379.000000,1356.099976,1372.550049,1356.774780,9027167
2022-04-28,1372.000000,1379.000000,1362.099976,1371.349976,1355.588501,10386861
2022-04-29,1380.349976,1404.750000,1371.550049,1384.599976,1368.686279,14200738
2022-05-02,1362.050049,1406.449951,1362.050049,1403.699951,1387.566650,9747158
2022-05-04,1400.000000,1403.599976,1350.000000,1356.000000,1340.414917,14527958
2022-05-05,1375.000000,1375.000000,1346.500000,1352.949951,1337.400024,8931456
2022-05-06,1330.000000,1335.000000,1313.000000,1317.599976,1302.456299,13365634
2022-05-09,1300.000000,1326.500000,1295.500000,1319.849976,1304.680420,16381217
2022-05-10,1315.050049,1353.000000,1315.050049,1341.050049,1325.636841,10056906
2022-05-11,1353.000000,1355.000000,1328.650024,1348.599976,1333.099976,8551462
2022-05-12,1321.099976,1326.800049,1293.000000,1303.050049,1303.050049,11191145
2022-05-13,1310.050049,1318.000000,1287.000000,1291.349976,1291.349976,8384119
2022-05-16,1299.000000,1312.000000,1285.300049,1305.099976,1305.099976,4902178
2022-05-17,1312.599976,1317.000000,1298.199951,1314.000000,1314.000000,8320722
2022-05-18,1324.050049,1333.300049,1310.000000,1313.900024,1313.900024,7866192
2022-05-19,1286.199951,1296.400024,1278.300049,1287.050049,1287.050049,10268753
2022-05-20,1303.000000,1324.199951,1292.349976,1320.949951,1320.949951,6959675
2022-05-23,1314.000000,1329.949951,1299.099976,1304.000000,1304.000000,9743160
2022-05-24,1300.000000,1325.000000,1296.900024,1318.949951,1318.949951,6435398
2022-05-25,1330.000000,1335.949951,1323.199951,1328.800049,1328.800049,6443556
2022-05-26,1342.150024,1371.000000,1340.000000,1366.699951,1366.699951,13496214
2022-05-27,1371.800049,1394.699951,1370.750000,1392.050049,1392.050049,12015859
2022-05-30,1410.250000,1420.500000,1398.449951,1401.550049,1401.550049,6312337
2022-05-31,1395.900024,1404.800049,1380.000000,1388.949951,1388.949951,6742694
2022-06-01,1380.000000,1400.449951,1379.150024,1394.849976,1394.849976,6045948
2022-06-02,1387.250000,1388.000000,1378.599976,1385.099976,1385.099976,5737510
2022-06-03,1398.300049,1400.750000,1376.300049,1380.300049,1380.300049,3478622
